FAC_NO,FAC_NAME,ADDRESS,CITY,COUNTY,ZIP_CODE,PHONE,OWNER,CEO,TYPE_HOSP,TYPE_CNTRL,TYPE_CARE,HSA_NAME,DSH_HOSP
106190687,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL,1250 16TH STREET,SANTA MONICA,Los Angeles,90404,310-319-4000,REGENTS OF THE UNIVERSITY OF CALIFORNIA,"JOHNESE SPISSO, MPA",Comparable,Non-Profit,General,11 - LOS ANGELES COUNTY,DSH
106190696,PACIFICA HOSPITAL OF THE VALLEY,9449 SAN FERNANDO ROAD,SUN VALLEY,Los Angeles,91352,818-767-3310,PACIFICA OF THE VALLEY CORPORATION,PRECIOUS MAYES,Comparable,Investor,General,11 - LOS ANGELES COUNTY,DSH
106190708,SHERMAN OAKS HOSPITAL,4929 VAN NUYS BLVD,SHERMAN OAKS,Los Angeles,91403,818-981-7111,"PRIME HEALTHCARE SERVICES FOUNDATION, INC.",RICK MAHALINGAM,Comparable,Non-Profit,General,11 - LOS ANGELES COUNTY,DSH
106190754,ST. FRANCIS MEDICAL CENTER,3630 E. IMPERIAL HIGHWAY,LYNWOOD,Los Angeles,90262,310-603-6000,"PRIME HEALTHCARE SERVICES, INC.",CLAY FARELL,Comparable,Investor,General,11 - LOS ANGELES COUNTY,DSH
106190756,PROVIDENCE ST. JOHN'S HEALTH CENTER,2121 SANTA MONICA BLVD,SANTA MONICA,Los Angeles,90404,310-829-5511,PROVIDENCE HEALTH & SERVICES,MICHAEL R. RICKS,Comparable,Non-Profit,General,11 - LOS ANGELES COUNTY,Non-DSH
106190758,PROVIDENCE ST. JOSEPH MEDICAL CENTER,501 SOUTH BUENA VISTA STREET,BURBANK,Los Angeles,91505-4866,818-843-5111,PROVIDENCE HEALTH & SERVICES,KARL KEELER,Comparable,Non-Profit,General,11 - LOS ANGELES COUNTY,Non-DSH
106190782,TARZANA TREATMENT CENTER,18646 OXNARD STREET,TARZANA,Los Angeles,91356,818-996-1051,"TARZANA TREATMENT CENTERS, INC.",ALBERT SENELLA,Comparable,Non-Profit,Specialty,11 - LOS ANGELES COUNTY,Non-DSH
106190812,VALLEY PRESBYTERIAN HOSPITAL,15107 VANOWEN STREET,VAN NUYS,Los Angeles,91405-4542,818-902-5718,VALLEY PRESBYTERIAN HOSPITAL,GUSTAVO VALDESPINO,Comparable,Non-Profit,General,11 - LOS ANGELES COUNTY,DSH
106190818,USC VERDUGO HILLS HOSPITAL,1812 VERDUGO BOULEVARD,GLENDALE,Los Angeles,91208,818-790-7100,USC VERDUGO HILLS HOSPITAL,ARMAND DORIAN,Comparable,Non-Profit,General,11 - LOS ANGELES COUNTY,Non-DSH
106190857,WEST COVINA MEDICAL CENTER,725 SOUTH ORANGE BLVD,WEST COVINA,Los Angeles,91790,818-338-8481,WEST COVINA MEDICAL CENTER,GERALD WALLMAN,Comparable,Investor,General,#N/A,#N/A
106190859,WEST HILLS HOSPITAL AND MEDICAL CENTER,7300 MEDICAL CENTER DRIVE,WEST HILLS,Los Angeles,91307,818-676-4000,"HCA CORPORATION, INC.",SABA HABIS,Comparable,Investor,General,11 - LOS ANGELES COUNTY,Non-DSH
106190878,ADVENTIST HEALTH WHITE MEMORIAL,1720 CESAR E. CHAVEZ AVENUE,LOS ANGELES,Los Angeles,90033-2462,323-268-5000,ADVENTIST HEALTH SYSTEMS,JOHN RAFFOUL,Comparable,Non-Profit,General,11 - LOS ANGELES COUNTY,DSH
106190930,RESNICK NEUROPSYCHIATRIC HOSPITAL AT UCLA,150 UCLA MEDICAL PLAZA,LOS ANGELES,Los Angeles,90095-4700,310-825-9989,REGENTS OF THE UNIVERSITY OF CA,JOHNESE SPISSO,Comparable,Non-Profit,Psychiatric,11 - LOS ANGELES COUNTY,Non-DSH
106190958,METROPOLITAN STATE HOSPITAL,11401 S. BLOOMFIELD AVENUE,NORWALK,Los Angeles,90650,562-863-7011,STATE OF CALIFORNIA,DR. MICHAEL BARSOM,State,State,Specialty,11 - LOS ANGELES COUNTY,Non-DSH
106191216,USC KENNETH NORRIS JR. CANCER HOSPITAL,1441 EASTLAKE AVENUE,LOS ANGELES,Los Angeles,90033,323-286-5300,UNIVERSITY OF SOUTHERN CALIFORNIA,RODNEY HANNERS,Comparable,Non-Profit,Specialty,11 - LOS ANGELES COUNTY,Non-DSH
106191228,LOS ANGELES GENERAL MEDICAL CENTER,2051 MARENGO STREET,LOS ANGELES,Los Angeles,90033,323-409-6871,COUNTY OF LOS ANGELES,JORGE OROZCO,Comparable,City/County,General,11 - LOS ANGELES COUNTY,DSH
106191230,"MARTIN LUTHER KING, JR. COMMUNITY HOSPITAL",1680 E. 120TH STREET,LOS ANGELES,Los Angeles,90059,424-338-8740,MARTIN LUTHER KING JR. - LOS ANGELES,ELAINE BATCHLOR,Comparable,Non-Profit,General,11 - LOS ANGELES COUNTY,Non-DSH
106191300,KAISER FOUNDATION SOUTHERN REGION,393 EAST WALNUT STREET,PASADENA,,91188,626-405-5000,KAISER FOUNDATION HOSPITALS,GREGORY ADAMS,Kaiser,Non-Profit,General,11 - LOS ANGELES COUNTY,Non-DSH
106191306,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION CENTER,7601 E. IMPERIAL HWY,DOWNEY,Los Angeles,90242-3456,562-385-7022,COUNTY OF LOS ANGELES,"ARIES LIMBAGA, D.N.P.",Comparable,City/County,General,11 - LOS ANGELES COUNTY,DSH
106191450,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS,5601 DE SOTO AVENUE,WOODLAND HILLS,Los Angeles,91365,818-719-2777,KAISER FOUNDATION HOSPITALS,GREGORY ADAMS,Kaiser,Non-Profit,General,11 - LOS ANGELES COUNTY,Non-DSH
106194219,KECK HOSPITAL OF USC,1500 SAN PABLO STREET,LOS ANGELES,Los Angeles,90033,323-442-8500,UNIVERSITY OF SOUTHERN CALIFORNIA,RODNEY HANNERS,Comparable,Non-Profit,General,11 - LOS ANGELES COUNTY,Non-DSH
106194967,STAR VIEW ADOLESCENT - PHF,4025 W 226TH STREET,TORRANCE,Los Angeles,90505,310-373-4556,STARS BEHAVIORAL HEALTH GROUP HOLDING COMPANY,KENT DUNLAP,PHF,Investor,Psychiatric,11 - LOS ANGELES COUNTY,Non-DSH
106194981,LA CASA PSYCHIATRIC HEALTH FACILITY,6060 PARAMOUNT BLVD,LONG BEACH,Los Angeles,90805,562-630-8672,TELECARE CORPORATION,WAYNE MUNCHEL,PHF,Investor,Psychiatric,11 - LOS ANGELES COUNTY,Non-DSH
106196035,KAISER FOUNDATION HOSPITAL - BALDWIN PARK,1011 BALDWIN PARK BOULEVARD,BALDWIN PARK,Los Angeles,91706,626-851-1011,KAISER FOUNDATION HOSPITALS,GREGORY ADAMS,Kaiser,Non-Profit,General,11 - LOS ANGELES COUNTY,Non-DSH
106196168,MEMORIALCARE MILLER CHILDREN'S & WOMEN'S HOSPITAL LONG BEACH,2801 ATLANTIC AVENUE,LONG BEACH,Los Angeles,90806,562-933-2000,MEMORIAL HEALTH SERVICES,BLAIR KENT,Comparable,Non-Profit,Children,11 - LOS ANGELES COUNTY,DSH
106196403,KAISER FOUNDATION HOSPITAL - DOWNEY,9333 IMPERIAL HIGHWAY,DOWNEY,Los Angeles,90242,310-803-2121,KAISER FOUNDATION HOSPITALS,GREGORY ADAMS,Kaiser,Non-Profit,General,11 - LOS ANGELES COUNTY,Non-DSH
106196404,JOYCE EISENBERG KEEFER MEDICAL CENTER,7150 TAMPA AVE,RESEDA,Los Angeles,91335,818-774-3000,JEWISH HOME FOR THE AGING,DALE SUROWITZ,LTC Emphasis,Non-Profit,Psychiatric,11 - LOS ANGELES COUNTY,Non-DSH
106196405,PALMDALE REGIONAL MEDICAL CENTER,38600 MEDICAL CENTER DRIVE,PALMDALE,Los Angeles,93551,661-382-5000,UNIVERSAL HEALTH SYSTEMS INC,NANA DEEB,Comparable,Investor,General,11 - LOS ANGELES COUNTY,Non-DSH
106198495,OCEAN VIEW PSYCHIATRIC HEALTH FACILITY,2600 REDONDO AVE. SUITE 500,LONG BEACH,Los Angeles,90806,562-304-1740,JACK STEPHENS,JACK STEPHENS,PHF,Investor,Psychiatric,11 - LOS ANGELES COUNTY,Non-DSH
106200030,RIVER VISTA BEHAVIORAL HEALTH,40886 GOODWIN WAY,MADERA,Madera,93636,559-603-6000,"UHS OF DELAWARE, INC.",ROBERT DUTILE,Comparable,Investor,Psychiatric,09 - CENTRAL,Non-DSH
106201281,MADERA COMMUNITY HOSPITAL,1250 E ALMOND AVENUE,MADERA,Madera,93637,559-675-5555,MADERA COMMUNITY HOSPITAL,KAREN PAOLINELLI,Comparable,Non-Profit,General,09 - CENTRAL,DSH
106210992,KAISER FOUNDATION HOSPITAL - SAN RAFAEL,99 MONTECILLO ROAD,SAN RAFAEL,Marin,94903,510-987-3380,KAISER FOUNDATION HOSPITALS,GREGORY ADAMS,Kaiser,Non-Profit,General,04 - WEST BAY,Non-DSH
106210993,KENTFIELD HOSPITAL,1125 SIR FRANCIS DRAKE BLVD,KENTFIELD,Marin,94904,415-456-9680,VIBRA HEALTHCARE LLC,VARUN CHAUHAN,Comparable,Investor,Specialty,04 - WEST BAY,Non-DSH
106211006,MARIN GENERAL HOSPITAL,250 BON AIR ROAD,GREENBRAE,Marin,94904,415-925-7000,MARIN HEALTHCARE DISTRICT,"DAVID KLEIN, MD, MBA",Comparable,Non-Profit,General,04 - WEST BAY,Non-DSH
106214034,NOVATO COMMUNITY HOSPITAL,180 ROWLAND WAY,NOVATO,Marin,94948,415-209-1300,SUTTER HEALTH,DAN PETERSON,Comparable,Non-Profit,General,04 - WEST BAY,Non-DSH
106231013,ADVENTIST HEALTH MENDOCINO COAST,700 RIVER DRIVE,FORT BRAGG,Mendocino,95437,707-961-1234,ADVENTIST HEALTH SYSTEMS,JUDSON HOWE,Comparable,Non-Profit,General,01 - NORTHERN CALIFORNIA,Non-DSH
106231396,ADVENTIST HEALTH UKIAH VALLEY,275 HOSPITAL DRIVE,UKIAH,Mendocino,95482,707-462-3111,ADVENTIST HEALTH SYSTEMS,JUDSON HOWE,Comparable,Non-Profit,General,01 - NORTHERN CALIFORNIA,DSH
106240942,MERCY MEDICAL CENTER - MERCED,333 MERCY AVENUE,MERCED,Merced,95340,209-564-5000,DIGNITY HEALTH,CHUCK KASSIS,Comparable,Non-Profit,General,06 - NORTH SAN JOAQUIN,DSH
106254005,MODOC MEDICAL CENTER,1111 N NAGLE STREET,ALTURAS,Modoc,96101,530-708-8800,COUNTY OF MODOC,KEVIN KRAMER,Comparable,District,General,01 - NORTHERN CALIFORNIA,Non-DSH
106260011,MAMMOTH HOSPITAL,85 SIERRA PARK ROAD,MAMMOTH LAKES,Mono,93546,760-993-4331,SOUTHERN MONO HEALTHCARE DISTRICT,TOM PARKER,Comparable,District,General,12 - INLAND COUNTIES,Non-DSH
106270744,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,23625 W.R. HOLMAN HIGHWAY,MONTEREY,Monterey,93940,831-624-5311,COMMUNITY HOSPITAL FOUNDATION,STEVEN PACKER M.D.,Comparable,Non-Profit,General,08 - MID-COAST,Non-DSH
106270777,GEORGE L. MEE MEMORIAL HOSPITAL,300 CANAL STREET,KING CITY,Monterey,93930,831-385-6000,COUNTY OF SOUTHERN MONTEREY,RENA SALAMACHA,Comparable,Non-Profit,General,08 - MID-COAST,DSH
106270875,SALINAS VALLEY HEALTH MEDICAL CENTER,450 E. ROMIE LANE,SALINAS,Monterey,93901,831-757-4333,SALINAS VALLEY MEMORIAL HOSPITAL DISTRICT,ALLEN RADNER,Comparable,District,General,08 - MID-COAST,Non-DSH
106274043,NATIVIDAD MEDICAL CENTER,1441 CONSTITUTION BLVD,SALINAS,Monterey,93906,831-755-4111,COUNTY OF MONTEREY,CHARLES R. HARRIS,Comparable,City/County,General,08 - MID-COAST,DSH
106281266,NAPA STATE HOSPITAL,2100 NAPA VALLEJO HIGHWAY,NAPA,Napa,94558,707-253-5000,STATE OF CALIFORNIA,JENNIE CLAY,State,State,Specialty,03 - NORTH BAY,Non-DSH
106291023,SIERRA NEVADA MEMORIAL HOSPITAL,155 GLASSON WAY,GRASS VALLEY,Nevada,95945,530-274-6000,SIERRA NEVADA MEMORIAL HOSPITAL,DR. SCOTT NEELY,Comparable,Non-Profit,General,02 - GOLDEN EMPIRE,DSH
106291053,TAHOE FOREST HOSPITAL,10121 PINE AVENUE,TRUCKEE,Nevada,96160,530-587-6011,TAHOE FOREST HOSPITAL DISTRICT,HARRY WEIS,Comparable,District,General,02 - GOLDEN EMPIRE,Non-DSH
106300032,CHILDREN'S HOSPITAL OF ORANGE COUNTY,1201 W. LA VETA AVE,ORANGE,Orange,92868,714-997-3000,CHILDREN'S HOSPITAL OF ORANGE COUNTY,KIMBERLY CRIPE,Comparable,Non-Profit,Children,13 - ORANGE COUNTY,DSH
106300225,MEMORIALCARE ORANGE COAST MEDICAL CENTER,9920 TALBERT AVENUE,FOUNTAIN VALLEY,Orange,92708-5153,714-378-7000,MEMORIAL HEALTH SERVICES,MARCIA MANKER,Comparable,Non-Profit,General,13 - ORANGE COUNTY,Non-DSH
106301097,ANAHEIM COMMUNITY HOSPITAL,3350 W BALL ROAD,ANAHEIM,Orange,92804,714-243-9000,SIGNATURE HEALTH CARE,PHILLIP FRANKS,Comparable,Investor,Psychiatric,13 - ORANGE COUNTY,Non-DSH
106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,1111 WEST LA PALMA AVENUE,ANAHEIM,Orange,92801,714-774-1450,"AHMC HEALTHCARE, INC.",LISA HAHN,Comparable,Investor,General,13 - ORANGE COUNTY,DSH
106301127,KINDRED HOSPITAL - BREA,875 NORTH BREA BLVD,BREA,Orange,92821,714-529-6842,"KINDRED HEALTHCARE, INC.",KEVIN CHAVEZ,Comparable,Investor,General,13 - ORANGE COUNTY,Non-DSH
106301140,CHAPMAN GLOBAL MEDICAL CENTER,2601 CHAPMAN AVENUE,ORANGE,Orange,92869,714-633-0011,"KPC HEALTHCARE, INC.",PETER BARONOFF,Comparable,Investor,General,13 - ORANGE COUNTY,DSH
106301155,COLLEGE HOSPITAL COSTA MESA,301 VICTORIA STREET,COSTA MESA,Orange,92627,949-642-2734,"CHCM, INC.",WARREN BRADLEY,Comparable,Investor,Psychiatric,13 - ORANGE COUNTY,DSH
106301188,ANAHEIM GLOBAL MEDICAL CENTER,1025 SOUTH ANAHEIM BLVD,ANAHEIM,Orange,92805,714-533-6220,"KPC HEALTHCARE, INC.",PETER BARONOFF,Comparable,Investor,General,13 - ORANGE COUNTY,DSH
106301205,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,Orange,92663,949-764-4624,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ROBERT BRAITHWAITE,Comparable,Non-Profit,General,13 - ORANGE COUNTY,Non-DSH
106301209,HUNTINGTON BEACH HOSPITAL,17772 BEACH BLVD,HUNTINGTON BEACH,Orange,92647,714-942-1473,"PRIME HEALTHCARE HUNTINGTON BEACH, LLC",DAN BROTHMAN,Comparable,Investor,General,13 - ORANGE COUNTY,DSH
106301234,LA PALMA INTERCOMMUNITY HOSPITAL,7901 WALKER STREET,LA PALMA,Orange,90623,714-670-7400,"PRIME HEALTHCARE SERVICES FOUNDATION, INC.","MOUSA, AYMAN",Comparable,Non-Profit,General,13 - ORANGE COUNTY,DSH
106301248,LOS ALAMITOS MEDICAL CENTER,3751 KATELLA AVENUE,LOS ALAMITOS,Orange,90720,562-598-1311,TENET HEALTHCARE CORP,KENT CLAYTON,Comparable,Investor,General,13 - ORANGE COUNTY,Non-DSH
106301258,SOUTH COAST GLOBAL MEDICAL CENTER,2701 SOUTH BRISTOL STREET,SANTA ANA,Orange,92704,714-754-5454,"KPC HEALTHCARE, INC.",PETER BARONOFF,Comparable,Investor,General,13 - ORANGE COUNTY,DSH
106301262,PROVIDENCE MISSION HOSPITAL,27700 MEDICAL CENTER ROAD,MISSION VIEJO,Orange,92691,949-364-1400,ST. JOSEPH HEALTH SYSTEM,EILEEN HAUBL,Comparable,Non-Profit,General,13 - ORANGE COUNTY,Non-DSH
106301279,UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER,101 THE CITY DRIVE SOUTH,ORANGE,Orange,92868,714-456-5678,REGENTS OF THE UNIVERSITY OF CALIFORNIA,CHAD T LEFTERIS,Comparable,Non-Profit,General,13 - ORANGE COUNTY,DSH
106301283,GARDEN GROVE HOSPITAL AND MEDICAL CENTER,12601 GARDEN GROVE BLVD,GARDEN GROVE,Orange,92843,714-537-5160,"PRIME HEALTHCARE SERVICES, INC.",DAN BROTHMAN,Comparable,Investor,General,13 - ORANGE COUNTY,DSH
106301304,NEWPORT BAY HOSPITAL,1501 EAST 16TH STREET,NEWPORT BEACH,Orange,92663,949-650-9750,"BEACON HEALTHCARE SERVICES, INC.",JAMES E PARKHURST,Comparable,Investor,Psychiatric,#N/A,#N/A
106301317,MEMORIALCARE SADDLEBACK MEDICAL CENTER,24451 HEALTH CENTER DRIVE,LAGUNA HILLS,Orange,92653,949-837-4500,MEMORIAL HEALTH SERVICES,MARCIA MANKER,Comparable,Non-Profit,General,13 - ORANGE COUNTY,Non-DSH
106301357,FOOTHILL REGIONAL MEDICAL CENTER,14662 NEWPORT AVENUE,TUSTIN,Orange,92780-6064,714-669-5880,"ALTA HOSPITALS SYSTEM, LLC",ARACELI LONERGAN,Comparable,Investor,General,13 - ORANGE COUNTY,DSH
106301379,WEST ANAHEIM MEDICAL CENTER,3033 ORANGE AVENUE,ANAHEIM,Orange,92804,714-827-3000,"PRIME HEALTHCARE SERVICES, INC.",AYMAN MOUSA,Comparable,Investor,General,13 - ORANGE COUNTY,DSH
106301380,KINDRED HOSPITAL - WESTMINSTER,200 HOSPITAL CIRCLE,WESTMINSTER,Orange,92683,714-893-4541,"KINDRED HEALTHCARE, INC.",PHILLIP WOLFE,Comparable,Investor,General,13 - ORANGE COUNTY,Non-DSH
106301566,ORANGE COUNTY GLOBAL MEDICAL CENTER,1001 NORTH TUSTIN AVENUE,SANTA ANA,Orange,92705,714-953-3500,"KPC HEALTHCARE, INC.",PETER BARONOFF,Comparable,Investor,General,13 - ORANGE COUNTY,DSH
106304113,CHILDREN'S HOSPITAL AT MISSION,27700 MEDICAL CENTER ROAD,MISSION VIEJO,Orange,92691,714-509-8471,CHILDRENS HOSPITAL AT MISSION,KIMBERLY CRIPE,Comparable,Non-Profit,Children,13 - ORANGE COUNTY,Non-DSH
106304409,KAISER FOUNDATION HOSPITAL - ORANGE CO - ANAHEIM,3440 E. LA PALMA AVENUE,ANAHEIM,Orange,92806,714-281-8645,KAISER FOUNDATION HOSPITALS,GREGORY ADAMS,Kaiser,Non-Profit,General,13 - ORANGE COUNTY,Non-DSH
106304460,HOAG ORTHOPEDIC INSTITUTE,16250 SAND CANYON AVENUE,IRVINE,Orange,92618,949-517-3149,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,KIM MIKES,Comparable,Investor,Specialty,13 - ORANGE COUNTY,Non-DSH
106304583,LAGUNA TREATMENT CENTER,24552 PACIFIC PARK DR,ALISO VIEJO,Orange,92656,949-565-2377,"AMERICAN ADDICTION CENTERS, INC.",TRACE SWARTZFAGER,Comparable,Investor,Specialty,13 - ORANGE COUNTY,Non-DSH
106304585,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TUSTIN,15120 KENSINGTON PARK DRIVE,TUSTIN,Orange,92782,714-832-9200,ENCOMPASS HEALTH,PAULA REDMOND,Comparable,Investor,Specialty,13 - ORANGE COUNTY,Non-DSH
106310791,SUTTER AUBURN FAITH HOSPITAL,11815 EDUCATION STREET,AUBURN,Placer,95602,530-888-4500,SUTTER HEALTH,MITCH HANNA,Comparable,Non-Profit,General,02 - GOLDEN EMPIRE,Non-DSH
106311000,SUTTER ROSEVILLE MEDICAL CENTER,ONE MEDICAL PLAZA,ROSEVILLE,Placer,95661,916-781-1000,SUTTER HEALTH,BRIAN ALEXANDER,Comparable,Non-Profit,General,02 - GOLDEN EMPIRE,Non-DSH
106314024,KAISER FOUNDATION HOSPITAL - ROSEVILLE,1600 EUREKA ROAD,ROSEVILLE,Placer,95661,916-784-4000,KAISER FOUNDATION HOSPITALS,GREGORY ADAMS,Kaiser,Non-Profit,General,02 - GOLDEN EMPIRE,Non-DSH
106314029,CIRBY HILLS BEHAVIORAL HEALTH - PHF,101 CIRBY HILLS DRIVE,ROSEVILLE,Placer,95678,530-790-2520,"NORTH VALLEY BEHAVIORAL HEALTH, LLC",ARNE HYSON,PHF,Investor,Psychiatric,02 - GOLDEN EMPIRE,Non-DSH
106320986,PLUMAS DISTRICT HOSPITAL,1065 BUCKS LAKE ROAD,QUINCY,Plumas,95971,530-283-2121,PLUMAS HOSPITAL DISTRICT,JODEE READ,Comparable,District,General,01 - NORTHERN CALIFORNIA,Non-DSH
106321016,SENECA HEALTHCARE DISTRICT,130 BRENTWOOD DRIVE,CHESTER,Plumas,96020,530-258-2151,SENECA HEALTHCARE DISTRICT,STEVE BOLINE,Comparable,District,General,01 - NORTHERN CALIFORNIA,Non-DSH
106330120,THE BETTY FORD CENTER,39407 VISTA DEL SOL,RANCHO MIRAGE,Riverside,92270-1375,763-773-4100,HAZELDEN BETTY FORD FOUNDATION,THERESA VOSS,Comparable,Non-Profit,Specialty,12 - INLAND COUNTIES,Non-DSH
106331152,CORONA REGIONAL MEDICAL CENTER - MAIN,800 SOUTH MAIN STREET,CORONA,Riverside,92880,909-737-4343,"UNIVERSAL HEALTH SERVICES, INC.",SAM ITANI,Comparable,Investor,General,12 - INLAND COUNTIES,Non-DSH
106331168,EISENHOWER MEDICAL CENTER,39000 BOB HOPE DRIVE,RANCHO MIRAGE,Riverside,92270,760-340-3911,EISENHOWER MEDICAL CENTER,MARTIN MASSIELLO,Comparable,Non-Profit,General,12 - INLAND COUNTIES,Non-DSH
106331194,HEMET GLOBAL MEDICAL CENTER,1117 E. DEVONSHIRE AVE,HEMET,Riverside,92543,951-652-2811,"PHYSICIANS FOR HEALTHY HOSPITALS, INC.",PETER BARONOFF,Comparable,Investor,General,12 - INLAND COUNTIES,DSH
106331216,JOHN F. KENNEDY MEMORIAL HOSPITAL,47-111 MONROE STREET,INDIO,Riverside,92201,760-347-6191,TENET HEALTHCARE CORP,KAREN FAULIS,Comparable,Investor,General,12 - INLAND COUNTIES,DSH
106331288,PALO VERDE HOSPITAL,250 NORTH FIRST ST,BLYTHE,Riverside,92225-1702,760-922-5201,PALO VERDE HEALTH CARE DISTRICT,CHRISTA ROHDE,Comparable,District,General,#N/A,#N/A
106331326,SAN GORGONIO MEMORIAL HOSPITAL,600 N. HIGHLAND SPRINGS AVE,BANNING,Riverside,92220,951-845-1121,SAN GORGONIO MEMORIAL HEALTHCARE DISTRICT,STEVEN BARRON,Comparable,District,General,12 - INLAND COUNTIES,DSH
106334018,MENIFEE GLOBAL MEDICAL CENTER,"28400 McCall Blvd, Menifee, CA 92585",HEMET,Riverside,92543,951-679-8888,"PHYSICIANS FOR HEALTHY HOSPITALS, INC.",PETER BARONOFF,Comparable,Investor,General,12 - INLAND COUNTIES,Non-DSH
106334025,KAISER FOUNDATION HOSPITAL - RIVERSIDE,10800 MAGNOLIA AVENUE,RIVERSIDE,Riverside,92503,909-353-3091,KAISER FOUNDATION HOSPITALS,GREGORY ADAMS,Kaiser,Non-Profit,General,12 - INLAND COUNTIES,Non-DSH
106334048,KAISER FOUNDATION HOSPITAL - MORENO VALLEY,27300 IRIS AVENUE,MORENO VALLEY,Riverside,92555,951-243-2262,KAISER FOUNDATION HOSPITALS,GREGORY ADAMS,Kaiser,Non-Profit,General,12 - INLAND COUNTIES,Non-DSH
106334068,SOUTHWEST HEALTHCARE SYSTEM - MURRIETA,25500 MEDICAL CENTER DRIVE,MURRIETA,Riverside,92562,951-696-6000,"UNIVERSAL HEALTH SYSTEMS, INC.",JARED GILES,Comparable,Investor,General,12 - INLAND COUNTIES,Non-DSH
106334457,TELECARE RIVERSIDE COUNTY PSYCHIATRIC HEALTH FACILITY,47-915 OASIS STREET,INDIO,Riverside,92201,760-863-8664,TELECARE CORPORATION,HOWARD BAYLESS-BONVENTRE,PHF,Investor,Psychiatric,12 - INLAND COUNTIES,DSH
106334487,RIVERSIDE UNIVERSITY HEALTH SYSTEM MEDICAL CENTER,26520 CACTUS AVE,MORENO VALLEY,Riverside,92555-3911,951-486-4000,COUNTY OF RIVERSIDE,JENNIFER LYNN CRUIKSHANK,Comparable,City/County,General,12 - INLAND COUNTIES,DSH
106334533,REHABILITATION HOSPITAL OF SOUTHERN CALIFORNIA,70077 RAMON ROAD,RANCHO MIRAGE,Riverside,92270,760-895-6600,JOINT VENTURE EISENHOWER MED CTR & ERNEST HC,PATRICH PETRE,Comparable,Investor,Specialty,12 - INLAND COUNTIES,Non-DSH
106334564,TEMECULA VALLEY HOSPITAL,31700 TEMECULA PKWY,TEMECULA,Riverside,92592,951-331-2200,"UNIVERSAL HEALTH SYSTEMS, INC.",DARLENE WETTON,Comparable,Investor,General,12 - INLAND COUNTIES,Non-DSH
106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER - MURRIETA,28062 BAXTER ROAD,MURRIETA,Riverside,92563,951-290-4000,LOMA LINDA UNIVERSITY HEALTH,TREVOR WRIGHT,Comparable,Non-Profit,General,12 - INLAND COUNTIES,Non-DSH
106334678,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MURRIETA,35470 WHITEWOOD ROAD,MURRIETA,Riverside,92563,951-246-6500,ENCOMPASS HEALTH CORPORATION,PERRY EBELTOFT,Comparable,Investor,Specialty,12 - INLAND COUNTIES,Non-DSH
106340041,HERITAGE OAKS ENRICHMENT CENTER - PHF,4378 AUBURN BOULEVARD,SACRAMENTO,Sacramento,95841,279-348-7200,"UNIVERSAL HEALTH SERVICES, INC.",SANTO MIRZA,PHF,Investor,Psychiatric,02 - GOLDEN EMPIRE,Non-DSH
106340913,KAISER FOUNDATION HOSPITAL - SACRAMENTO,2025 MORSE AVENUE,SACRAMENTO,Sacramento,95825,510-987-3380,KAISER FOUNDATION HOSPITALS,GREGORY ADAMS,Kaiser,Non-Profit,General,02 - GOLDEN EMPIRE,Non-DSH
106340947,MERCY GENERAL HOSPITAL,4001 J STREET,SACRAMENTO,Sacramento,95819,916-453-4545,COMMONSPIRIT HEALTH,TINA JOHNSON,Comparable,Non-Profit,General,02 - GOLDEN EMPIRE,Non-DSH
106340950,MERCY SAN JUAN MEDICAL CENTER,6501 COYLE AVENUE,CARMICHAEL,Sacramento,95608,916-537-5000,COMMONSPIRIT HEALTH,MICHAEL KORPIEL,Comparable,Non-Profit,General,02 - GOLDEN EMPIRE,DSH
106340951,METHODIST HOSPITAL - SACRAMENTO,7500 HOSPITAL DRIVE,SACRAMENTO,Sacramento,95823,916-423-3000,DIGNITY HEALTH,PHYLLIS BALTZ,Comparable,Non-Profit,General,02 - GOLDEN EMPIRE,DSH
106341051,SUTTER MEDICAL CENTER - SACRAMENTO,2801 L STREET,SACRAMENTO,Sacramento,95816,916-454-2222,SUTTER HEALTH,MIKE COHILL,Comparable,Non-Profit,General,02 - GOLDEN EMPIRE,Non-DSH
106341326,SACRAMENTO REHABILITATION HOSPITAL,10 ADVANTAGE COURT,SACRAMENTO,Sacramento,95834,279-499-1501,"ERNEST HEALTH HOLDINGS, LLC",JOE HUGAR,Comparable,Investor,Specialty,02 - GOLDEN EMPIRE,Non-DSH
